method,dataset,n,best_k,best_2k
fsnet,ring+xor+sum,128,0.3333333333333333,0.38888888888888884
lassonet,xor,8,1.0,1.0
lassonet,xor,32,1.0,1.0
lassonet,xor,128,1.0,1.0
lassonet,ring,8,0.5,0.75
lassonet,ring,32,0.0,0.08333333333333333
lassonet,ring,128,0.0,0.0
lassonet,ring+xor,8,0.7083333333333334,1.0
lassonet,ring+xor,32,0.5,0.5416666666666666
lassonet,ring+xor,128,0.5,0.5833333333333334
lassonet,ring+xor+sum,8,0.8055555555555555,1.0
lassonet,ring+xor+sum,32,0.6666666666666666,0.75
lassonet,ring+xor+sum,128,0.611111111111111,0.6666666666666666
mi,xor,8,0.25,0.4166666666666667
mi,xor,32,0.16666666666666666,0.16666666666666666
mi,xor,128,0.0,0.0
mi,ring,8,1.0,1.0
mi,ring,32,1.0,1.0
mi,ring,128,1.0,1.0
mi,ring+xor,8,0.6666666666666666,1.0
mi,ring+xor,32,0.4166666666666667,0.625
mi,ring+xor,128,0.25,0.4166666666666667
mi,ring+xor+sum,8,0.9444444444444445,1.0
mi,ring+xor+sum,32,0.3611111111111111,0.4444444444444444
mi,ring+xor+sum,128,0.16666666666666666,0.22222222222222224
mrmr,xor,8,0.08333333333333333,0.3333333333333333
mrmr,xor,32,0.0,0.0
mrmr,xor,128,0.0,0.0
mrmr,ring,8,1.0,1.0
mrmr,ring,32,1.0,1.0
mrmr,ring,128,1.0,1.0
mrmr,ring+xor,8,0.8333333333333334,1.0
mrmr,ring+xor,32,0.625,0.875
mrmr,ring+xor,128,0.25,0.2916666666666667
mrmr,ring+xor+sum,8,0.8055555555555555,1.0
mrmr,ring+xor+sum,32,0.4444444444444444,0.6666666666666666
mrmr,ring+xor+sum,128,0.6388888888888888,0.6944444444444443
nn,xor,8,0.9937631332300447,0.9944451883311104
nn,xor,32,0.9509686847310156,0.9460912229086507
nn,xor,128,0.9324906119559487,0.920564846339297
nn,ring,8,0.7328743381709978,0.7333160424861956
nn,ring,32,0.9066857777213172,0.898864769603115
nn,ring,128,0.9116734970772259,0.9029193034573879
nn,ring+xor,8,0.8378679537038551,0.8513639715221264
nn,ring+xor,32,0.9030940565500645,0.9028795789845937
nn,ring+xor,128,0.9425830460800434,0.9213562200488109
nn,ring+xor+sum,8,0.8396892754486517,0.8524517746332164
nn,ring+xor+sum,32,0.9309672317344212,0.9157274335596749
nn,ring+xor+sum,128,0.9382449810140626,0.926188033859773
relief,xor,8,1.0,1.0
relief,xor,32,0.9166666666666666,1.0
relief,xor,128,0.3333333333333333,0.6666666666666666
relief,ring,8,1.0,1.0
relief,ring,32,0.3333333333333333,0.5
relief,ring,128,0.0,0.08333333333333333
relief,ring+xor,8,1.0,1.0
relief,ring+xor,32,0.3333333333333333,0.5416666666666666
relief,ring+xor,128,0.08333333333333333,0.125
relief,ring+xor+sum,8,0.7777777777777778,1.0
relief,ring+xor+sum,32,0.5,0.638888888888889
relief,ring+xor+sum,128,0.3055555555555555,0.49999999999999994
rf,xor,8,1.0,1.0
rf,xor,32,0.75,1.0
rf,xor,128,0.08333333333333333,0.25
rf,ring,8,1.0,1.0
rf,ring,32,1.0,1.0
rf,ring,128,1.0,1.0
rf,ring+xor,8,1.0,1.0
rf,ring+xor,32,1.0,1.0
rf,ring+xor,128,0.7916666666666666,1.0
rf,ring+xor+sum,8,0.9722222222222223,1.0
rf,ring+xor+sum,32,0.6666666666666666,0.75
rf,ring+xor+sum,128,0.75,0.8333333333333334
treeshap,xor,8,1.0,1.0
treeshap,xor,32,0.08333333333333333,0.3333333333333333
treeshap,xor,128,0.0,0.0
treeshap,ring,8,1.0,1.0
treeshap,ring,32,1.0,1.0
treeshap,ring,128,0.8333333333333334,1.0
treeshap,ring+xor,8,0.9583333333333334,1.0
treeshap,ring+xor,32,0.7916666666666666,0.9583333333333334
treeshap,ring+xor,128,0.5416666666666666,0.7916666666666666
treeshap,ring+xor+sum,8,1.0,1.0
treeshap,ring+xor+sum,32,0.611111111111111,0.75
treeshap,ring+xor+sum,128,0.6388888888888888,0.8055555555555555
