optimizer,score,lr,C,p,val_acc,sparsity,train_steps
ADMM_neuron,first order,0.0005,1.0,,0.085,0.11858652796372599,16
ADMM_neuron,first order,0.0005,2.0,,0.145,0.266573939239926,16
ADMM_neuron,first order,0.0005,5.0,,0.085,0.9895780743320998,16
ADMM_neuron,second order,0.001,0.01,,0.084,0.0008534754040833459,16
ADMM_neuron,second order,0.001,0.05,,0.215,0.0054269051706628164,16
ADMM_neuron,second order,0.001,0.1,,0.103,0.010972574785494207,16
ADMM_neuron,second order,0.001,0.2,,0.083,0.022135357050782324,16
ADMM_neuron,second order,0.001,0.5,,0.183,0.05659563641302494,16
ADMM_neuron,second order,0.001,1.0,,0.196,0.11862078989263879,16
ADMM_neuron,second order,0.001,2.0,,0.121,0.26541471837155356,16
ADMM_neuron,second order,0.001,5.0,,0.085,0.9895508798862811,16
ADMM_neuron,second order,0.0005,0.01,,0.159,0.0009700888751363179,16
ADMM_neuron,second order,0.0005,0.05,,0.112,0.005447032133387374,16
ADMM_neuron,second order,0.0005,0.1,,0.105,0.010951218695275019,16
ADMM_neuron,second order,0.0005,0.2,,0.129,0.022129365054246005,16
ADMM_neuron,second order,0.0005,0.5,,0.142,0.0566752224183022,16
ADMM_neuron,second order,0.0005,1.0,,0.136,0.11874692910177513,16
ADMM_neuron,second order,0.0005,2.0,,0.096,0.26612146668096553,16
ADMM_neuron,second order,0.0005,5.0,,0.085,0.9895654757752799,16
ADMM_neuron,first order + second order,0.001,0.01,,0.095,0.0008284319313802702,16
ADMM_neuron,first order + second order,0.001,0.05,,0.177,0.005456096948660266,16
ADMM_neuron,first order + second order,0.001,0.1,,0.103,0.011024966344952787,16
ADMM_neuron,first order + second order,0.001,0.2,,0.147,0.02213796894670841,16
ADMM_neuron,first order + second order,0.001,0.5,,0.13,0.05667967800547023,16
ADMM_neuron,first order + second order,0.001,1.0,,0.164,0.11863031563072217,16
ADMM_neuron,first order + second order,0.001,2.0,,0.122,0.2655344046613431,16
ADMM_neuron,first order + second order,0.001,5.0,,0.085,0.9895553354734492,16
ADMM_neuron,first order + second order,0.0005,0.01,,0.134,0.0010329280182992502,16
